Epi_Control_rep1	Epi_Control_rep2	Epi_Control_rep3	Mes_Control_rep1	Mes_Control_rep2	Mes_Control_rep3	Epi_TNF_1hr_rep1	Epi_TNF_1hr_rep2	Epi_TNF_1hr_rep3	Mes_TNF_1hr_rep1	Mes_TNF_1hr_rep2	Mes_TNF_1hr_rep3	Epi_TNF_12hr_rep1	Epi_TNF_12hr_rep2	Epi_TNF_12hr_rep3	Mes_TNF_12hr_rep1	Mes_TNF_12hr_rep2	Mes_TNF_12hr_rep3
CLDN7	4.91745168813683	4.82217095970915	5.0314569374209	3.19627187069539	3.18045450113544	3.40879737652945	4.76119447831006	4.84572998730813	5.2025380604457	3.09346621609362	3.12108257242394	3.27239887682553	5.1139924485205	5.14402059188784	5.05388817506006	3.33602136945757	3.48431127022905	3.33602136945757
VIM	5.31020863659868	5.23325597642833	5.52331736493865	6.87487155208215	6.8214591674584	7.01108200408394	5.09997437388499	5.13285352289381	5.51599396627996	6.92643332884735	6.92066671382254	6.78857701705859	5.44165452794074	5.45935423726829	5.38654099948866	7.10662348504042	7.17207605289568	6.95768099423226
CDH1	5.83704854312004	5.78578460716076	6.07290749864241	3.33602136945757	3.40617428935851	3.5759248853768	5.53201405837004	5.57629545752323	5.94276515985994	3.32081244422559	3.25173317997413	3.16	5.91906479965114	5.93397440833758	5.87838941846939	3.56236125126263	3.62523350179628	3.39555110960115
GRHL2	4.83044420003124	4.75660533803483	5.05496740141581	2.05	2.2199896988958	2.11287225053366	4.61845905964306	4.68711933019187	5.07194471395774	2.01554952037515	1.9391626957122	2.05	4.81036868163457	4.83226541355199	4.73501540284937	2.05	2.3674529681972	2.05
OVOL1	4.9312219400841	4.84537530479334	5.02300281671779	1.89643612526683	1.60872132116131	1.74287225053366	4.79868691424377	4.8380518893497	5.18770556874646	1.52643612526683	1.42911339510832	1.97872132116131	3.86776905440509	3.86666044099492	3.58540643421673	1.68	1.9391626957122	1.89643612526683
SLC25A42	3.97478581481727	3.85317432163069	4.07527112735918	3.96379817819883	3.91338423664479	4.13083615130498	3.69235298545396	3.70901183758777	4.10590724022861	3.99523350179628	3.93529689843325	3.7280518893497	3.88197534453778	3.92743234121843	3.91743584748219	4.22203494624586	4.31352794751396	4.06923092525684
SNX13	4.61080592259951	4.60666044099492	4.88055705905979	4.65236651056886	4.65262112405574	4.74538491708311	4.33932026708418	4.44036868163457	4.80484692104048	4.61818761434601	4.54558851987483	4.37216602995147	4.63843384582479	4.69470113065876	4.59657792826388	4.77513467422307	4.75049510049167	4.53775454943169
TAF4B	4.05849326390059	4.02077891023525	4.30675868984918	3.88840671348223	3.85544580235673	3.93529689843325	3.86443628292239	3.95446582222862	4.29045450113544	3.93039514530093	3.92245749472439	3.62523350179628	4.19693105509485	4.22601216544979	4.14221533055535	4.01492672921403	4.02492010373723	3.74782441516544
CRIP2	5.03606887389952	4.92315585652776	5.04383109293973	5.3864122495688	5.31486677564009	5.51916639403218	4.79480049616503	4.77472982235298	5.13409443123675	5.36693968724557	5.38492938916742	5.30737918482465	4.94405637332911	4.9637430986319	4.94080240436305	5.57085451516321	5.73416131802794	5.46047624958918
CDK2	4.61900153648357	4.58050540159587	4.88633861048191	4.98560197611329	4.98601106835337	5.11943450573559	4.35997437388499	4.41674376903729	4.82198564564198	4.99667252149168	4.9636009611886	5.11151991670115	4.71274278681357	4.71501233600256	4.62466450470947	5.01557461729521	5.0523254303009	4.8197568442197
MBNL1	5.20579900694283	5.17052309712385	5.48783965194947	5.09198723486798	5.08478581481727	5.16509296106056	4.94198796212997	4.98845905964306	5.39465367164289	5.07333541513116	4.98641984731282	4.86093492865214	5.32413520726708	5.34136285448085	5.28340657222017	5.19825050996387	5.20099121681537	4.98066825730794
NEURL1B	5.1333709186551	5.06728270034928	5.28714161135488	5.39963863322672	5.35382561119568	5.56017545396417	4.84590724022861	4.90347590890239	5.22460849806893	5.39287561615359	5.37967409659826	5.03432849967228	5.19650742237261	5.2118154572209	5.22084657508245	5.63783778762356	5.72224926867528	5.54148697814618
ANG	2.61371792374109	2.51173317997413	2.98371792374109	2.78159357169497	2.88871102005711	3.08393387054954	2.3091626957122	2.34872132116131	2.88173317997413	2.89559882097903	2.86749774528271	3.08872132116131	2.90239887682553	2.72816930524095	2.72816930524095	3.08393387054954	3.22656636330553	3.02822679021665
RNASE4	2.77305263484314	2.71872132116131	3.22287225053366	3.37084657508245	3.41659017427475	3.50218062633414	2.60198564564198	2.65822679021665	3.19627187069539	3.4191626957122	3.33602136945757	3.30515744642814	2.92229424170869	3.07910309400412	2.86749774528271	3.71494297822079	3.73519787512073	3.54440002603815
PPFIBP1	4.82770067592542	4.79029585200498	5.14966822462769	4.76285352289381	4.73762672725055	4.8411006299763	4.54496601582163	4.6531299869781	5.050878824632	4.76160972311134	4.65414625985076	4.5210820514668	4.82420517967191	4.84838262072019	4.75869620308621	4.81751869769077	4.81994293352441	4.62680612108319
PACSIN1	1.97872132116131	1.97872132116131	2.3674529681972	0.94	0.94	1.15643612526683	1.8499896988958	1.79911339510832	2.16911339510832	1.42911339510832	0.94	0.94	1.68	1.52643612526683	1.68	1.15643612526683	0.57	1.15643612526683
TMEM182	3.07422820016746	3.23749774528271	3.43930837580048	3.16827609082053	3.13873036697552	3.27239887682553	3.04400519505779	3.03879737652945	3.37643612526683	3.12554952037515	3.02822679021665	2.86023508678561	3.25523350179628	3.27239887682553	3.18045450113544	3.23023508678561	3.11657792826388	2.96602136945757
ZNF503-AS2	2.81445300046938	2.6791626957122	2.90239887682553	2.75554952037515	2.72816930524095	2.86749774528271	2.60198564564198	2.63643612526683	2.99519787512073	2.64744264232263	2.7374529681972	2.86749774528271	3.00643612526683	3.05427084153647	3.00643612526683	3.05427084153647	3.11203494624586	2.86749774528271
CCNF	4.88022478568141	4.78177077643499	5.00449823818275	4.68735789876127	4.65032521873086	4.84590724022861	4.50622128817647	4.51617428935852	4.77876458959836	4.65083627397825	4.64182139107055	4.28945017879754	4.85834409441965	4.88122098596768	4.84092177349444	4.83984737427538	4.9535560944735	4.7233267516691
